epoch,train loss,train acc,test loss,test acc
0,1.7676195575640752,37.15999984741211,1.6140610483976512,46.290000915527344
0,1.7185232067719485,38.8380012512207,1.2860694237244434,54.220001220703125
1,1.0921572708166563,61.231998443603516,0.949005106320748,67.1500015258789
2,0.8226927984983493,71.05799865722656,0.8448514686180995,71.93000030517578
3,0.6516355445751777,77.54199981689453,0.6860647881642367,76.80000305175781
4,0.5489141824153754,80.8759994506836,0.634855927565159,78.70999908447266
5,0.48486002607223316,83.31600189208984,0.7083366035650938,77.31999969482422
6,0.4289446188471256,85.35399627685547,0.5044871706228989,83.58999633789062
7,0.38837277381083907,86.49800109863281,0.4752828992712192,84.58000183105469
8,0.3530976000122535,87.81800079345703,0.45122236701158375,85.51000213623047
9,0.3230351216517962,88.8740005493164,0.4587508080861507,85.58000183105469
10,0.3020573898767814,89.68199920654297,0.3853238817208853,87.20999908447266
11,0.2812568967732099,90.41799926757812,0.39793215558314937,87.08000183105469
12,0.2644436319287007,90.94000244140625,0.4226422023314696,86.77999877929688
13,0.2522560672500195,91.22000122070312,0.38598900460279906,87.41999816894531
14,0.23696566452391638,91.81199645996094,0.3589194942361269,88.66000366210938
15,0.22173819668017902,92.23999786376953,0.3626932557194661,88.16000366210938
16,0.20554655498036972,92.90399932861328,0.46814052493144304,86.02999877929688
17,0.1996976537964283,93.14399719238281,0.3842643663669244,88.33000183105469
18,0.1912673311164746,93.2699966430664,0.4144937641536578,87.58999633789062
19,0.17705020715410894,93.74600219726562,0.38853012923246777,88.1500015258789
20,0.17315508408997304,93.90599822998047,0.34416067285033375,89.66000366210938
21,0.16163781966345434,94.35600280761719,0.3453355846114648,89.41000366210938
22,0.1583504063101151,94.48600006103516,0.36014297910225695,89.69999694824219
23,0.1492396499006412,94.73400115966797,0.3472977899588071,89.58000183105469
24,0.14787871178526144,94.85600280761719,0.348236471032485,89.41000366210938
25,0.1389571961110983,95.16999816894531,0.3619082555747949,89.48999786376953
26,0.13111286333356148,95.41200256347656,0.34416697814296454,90.04000091552734
27,0.13313337927445387,95.33000183105469,0.4468560090813881,87.83000183105469
28,0.13740223456078615,95.16000366210938,0.3498416697749725,89.9000015258789
29,0.12317133625157368,95.7040023803711,0.35357222266686267,90.06999969482422
30,0.12208298663966931,95.66200256347656,0.3112670586277277,90.72000122070312
31,0.11479576389567975,95.91200256347656,0.35566062613939625,90.94999694824219
32,0.1108207989579592,96.0719985961914,0.4004943697975996,89.33000183105469
33,0.11052172830662667,96.13200378417969,0.31953876962264377,91.0999984741211
34,0.10553786578373267,96.3740005493164,0.3829566750388879,90.16999816894531
35,0.10643733660093485,96.29000091552734,0.31628573609468263,90.9800033569336
36,0.10233784245852477,96.37799835205078,0.3796154295022671,89.93000030517578
37,0.09986945463774297,96.5979995727539,0.34931253030514103,90.36000061035156
38,0.09661443581661353,96.63200378417969,0.3343491925834081,90.62000274658203
39,0.09986453604621764,96.4280014038086,0.3991278142501146,89.4000015258789
